Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","is_inc_v","accept_d","exp_d","list_d","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","addr_city","addr_state","acc_now_delinq","acc_open_past_24mths","bc_open_to_buy","percent_bc_gt_75","bc_util","dti","delinq_2yrs","delinq_amnt","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","mths_since_recent_inq","mths_since_recent_revol_delinq","mths_since_recent_bc","mort_acc","open_acc","pub_rec","total_bal_ex_mort","revol_bal","revol_util","total_bc_limit","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","total_il_high_credit_limit","num_rev_accts","mths_since_recent_bc_dlq","pub_rec_bankruptcies","num_accts_ever_120_pd","chargeoff_within_12_mths","collections_12_mths_ex_med","tax_liens","mths_since_last_major_derog","num_sats","num_tl_op_past_12m","mo_sin_rcnt_tl","tot_hi_cred_lim","tot_cur_bal","avg_cur_bal","num_bc_tl","num_actv_bc_tl","num_bc_sats","pct_tl_nvr_dlq","num_tl_90g_dpd_24m","num_tl_30dpd","num_tl_120dpd_2m","num_il_tl","mo_sin_old_il_acct","num_actv_rev_tl","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","total_rev_hi_lim","num_rev_tl_bal_gt_0","num_op_rev_tl","tot_coll_amt","policy_code"
"19677612","21900319","8400","8400","8400"," 36 months","  6.49%","257.42","A","A2","Post Doc Fellow","< 1 year","RENT","50200","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19677612","","credit_card","Credit card refinancing","Morgantown","WV","0","3","14632","60","43.3","19.29","0","0","1988-01-15 04:00","715","719","0","","","","","3","0","19","0","84999","11859","42.7%","25800","25","f","7974.87","7974.87","514.84","514.84","425.13","89.71","0.0","0.0","0.0","2014-08-28","257.42","2014-09-24","2014-08-21","794","790","65463","9","","0","0","0","0","0","","19","1","3","93263","84999","5000","6","5","6","100","0","0","0","14","131","6","317","3","27800","6","8","73","1"
"15359884","17432323","24000","24000","23900"," 36 months","  8.39%","756.4","A","A5","Research and Trade Specialist","4 years","MORTGAGE","62000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=15359884","","credit_card","Credit card refinancing","CHESTERTON","IN","0","4","15161","20","55.7","8.19","0","0","2002-04-16 05:00","720","724","2","","","0","","35","5","15","0","44261","38988","63.6%","34200","31","f","22818.68","22723.61","1512.8","1506.50","1181.32","331.48","0.0","0.0","0.0","2014-09-08","756.4","2014-09-23","2014-08-21","759","755","6625","18","","0","0","0","0","0","","15","2","0","157475","118100","8436","9","5","5","100","0","0","0","7","126","7","146","0","61300","7","11","0","1"
"19577048","21799772","6000","6000","6000"," 36 months","  7.12%","185.6","A","A3","Product Engineer","9 years","MORTGAGE","95000","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19577048","","debt_consolidation","Debt consolidation","Mooresville","NC","0","3","8256","25","72","22.94","0","0","1992-02-14 04:00","735","739","0","","","21","","4","3","9","0","81724","21244","72%","29500","25","w","5699.11","5699.11","371.2","371.20","300.89","70.31","0.0","0.0","0.0","2014-08-28","185.6","2014-09-23","2014-08-21","734","730","88946","14","","0","0","0","0","0","","9","1","4","292646","248380","27598","12","2","4","100","0","0","0","8","149","2","268","4","29500","2","4","0","1"
"19005842","21188503","22500","22500","22500"," 60 months"," 15.61%","542.51","D","D1","Senior Consultant","4 years","MORTGAGE","123000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19005842","","debt_consolidation","Debt consolidation","Bryn Mawr","PA","1","5","42279","25","23.5","11.51","1","147","1984-03-15 04:00","695","699","0","1","","13","74","13","5","11","0","251997","119004","23.5%","87800","29","w","21997.11","21997.11","1085.02","1085.02","502.89","582.13","0.0","0.0","0.0","2014-08-28","542.51","2014-09-25","2014-08-21","719","715","135626","15","74","0","0","0","0","0","","10","2","5","1005844","958527","87139","11","3","4","93.1","0","1","0","6","95","4","363","13","162800","4","5","0","1"
"19596800","21819533","13375","13375","13375"," 36 months"," 13.98%","457","C","C3","secretary","2 years","MORTGAGE","29780","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19596800","","debt_consolidation","Debt consolidation","Athol","MA","0","8","16409","50","40.1","14.91","0","0","1986-08-16 05:00","735","739","0","","","9","","21","4","11","0","12379","11651","30.3%","27400","33","w","12769.13","12769.13","914.0","914.00","605.87","308.13","0.0","0.0","0.0","2014-08-28","457.0","2014-09-25","2014-08-21","804","800","5142","25","","0","0","0","0","0","","11","3","4","187979","155400","14127","14","4","4","100","0","0","0","4","147","5","334","4","38500","5","9","0","1"
"19736798","21959551","1000","1000","1000"," 36 months"," 15.61%","34.97","D","D1","Special education teacher","7 years","RENT","54000","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19736798","","other","Other","pearland","TX","0","6","65","100","99.1","20.82","0","0","1987-07-16 05:00","690","694","1","","","5","","120","0","9","0","22942","12988","83.8%","7000","20","w","955.79","955.79","69.94","69.94","44.21","25.73","0.0","0.0","0.0","2014-08-28","34.97","2014-09-23","2014-08-21","689","685","12099","13","","0","0","0","0","0","","9","3","5","27599","22942","2868","7","1","2","100","0","0","0","7","170","6","323","5","15500","6","7","0","1"
"19677450","21900163","12600","12600","12600"," 36 months","  6.03%","383.49","A","A1","Senior Accountant","< 1 year","RENT","70000","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19677450","","credit_card","Credit card refinancing","Weston","FL","0","5","19826","0","24.9","17.68","0","0","2005-01-16 04:00","735","739","0","38","","17","","8","0","17","0","35708","7575","20%","26400","31","f","11958.04","11958.04","766.98","766.98","641.96","125.02","0.0","0.0","0.0","2014-08-28","383.49","2014-09-23","2014-08-21","734","730","36794","16","","0","0","0","0","0","","17","1","8","74594","35708","2381","8","2","5","96.6","0","0","0","14","113","4","104","8","37800","4","11","0","1"
"19677550","21900261","20000","20000","20000"," 60 months"," 16.99%","496.95","D","D3","Project Manager","7 years","MORTGAGE","96000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19677550","","debt_consolidation","Debt consolidation","DURHAM","NC","0","3","621","100","90.1","6.55","1","0","1986-05-15 05:00","665","669","3","22","","3","22","17","1","6","0","10339","10339","91.1%","6300","19","f","19569.41","19569.41","993.9","993.90","430.59","563.31","0.0","0.0","0.0","2014-08-28","496.95","2014-09-24","2014-08-21","694","690","0","12","42","0","1","0","0","0","","6","2","4","207575","205571","34262","5","2","2","71.4","0","0","0","6","180","4","337","4","11600","4","5","0","1"
"17745130","19877601","15875","15875","15875"," 60 months"," 20.20%","422.36","E","E3","Staff Accountant","10+ years","MORTGAGE","42203","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-27","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=17745130","","credit_card","Credit card refinancing","ELON","NC","0","3","267","100","95.4","19.06","0","0","1992-12-25 04:00","675","679","0","","91","12","","7","1","15","1","44337","44337","85.9%","5800","21","w","15562.13","15562.13","844.72","844.72","312.87","531.85","0.0","0.0","0.0","2014-09-02","422.36","2014-09-27","2014-08-21","709","705","0","18","","1","0","0","0","0","","15","1","7","163600","135648","10434","3","2","2","100","0","0","0","2","179","12","257","7","51600","12","14","273","1"
"19587344","21810068","15000","15000","15000"," 60 months"," 14.49%","352.85","C","C4","value Analyst 1 (buyer)","1 year","RENT","65000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19587344","","debt_consolidation","Debt consolidation","OAKDALE","MN","0","5","2030","0","61.7","11.06","0","0","2002-10-15 05:00","690","694","1","","","1","","36","0","4","0","23917","3775","65.1%","5300","10","w","14654.48","14654.48","705.7","705.70","345.52","360.18","0.0","0.0","0.0","2014-08-28","352.85","2014-09-23","2014-08-21","699","695","22081","3","","0","0","0","0","0","","4","1","4","27881","23917","5979","1","1","1","100","0","0","0","6","34","2","140","15","5800","2","2","0","1"
"19696750","21919502","12000","12000","12000"," 36 months"," 16.29%","423.61","D","D2","Registered Nurse","10+ years","MORTGAGE","77478.24","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19696750","","home_improvement","Home improvement","GREAT MILLS","MD","0","5","203","100","93.8","30.99","1","0","2001-12-16 04:00","665","669","0","11","","14","54","67","4","12","0","58077","12493","94.6%","3300","34","w","11475.04","11475.04","847.22","847.22","524.96","322.26","0.0","0.0","0.0","2014-09-15","423.61","2014-09-28","2014-08-21","684","680","59722","16","54","0","1","0","0","0","54","12","0","14","406484","380213","31684","7","2","2","94.1","0","0","0","14","146","8","150","27","13200","8","8","0","1"
"19706640","21929394","15000","15000","15000"," 60 months"," 13.35%","343.99","C","C2","Media Specialist III","10+ years","RENT","40000","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19706640","","debt_consolidation","Debt consolidation","West Deptford","NJ","0","2","17499","0","41.3","9.42","0","0","1998-05-16 05:00","740","744","0","","","13","","13","0","4","0","12301","12301","41.3%","29800","9","f","14643.80","14643.80","687.98","687.98","356.20","331.78","0.0","0.0","0.0","2014-08-28","343.99","2014-09-25","2014-08-21","759","755","0","9","","0","0","0","0","0","","4","0","13","29800","12301","4100","8","2","4","100","0","0","0","0","","2","193","13","29800","2","4","0","1"
"14699685","12031201","3000","3000","3000"," 36 months"," 20.20%","111.8","E","E3","engineering technician","3 years","RENT","57000","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-26","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=14699685","","debt_consolidation","Debt consolidation","Murrieta","CA","0","7","267","66.7","92.6","9.45","0","0","1999-06-16 05:00","665","669","0","33","","9","33","9","2","10","0","12751","7937","86.3%","3600","25","w","2876.37","2876.37","223.6","223.60","123.63","99.97","0.0","0.0","0.0","2014-09-15","111.8","2014-10-10","2014-08-21","619","615","6200","22","33","0","3","0","0","0","33","10","3","9","15400","12751","1594","9","3","3","88","0","0","0","1","12","5","180","9","9200","5","9","0","1"
"19746694","21969444","9900","9900","9900"," 36 months"," 16.29%","349.48","D","D2","Operations Manager ","5 years","RENT","100000","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19746694","","credit_card","Credit card refinancing","Brooklyn","NY","0","12","14750","10","40.8","14.89","0","0","2004-06-16 05:00","685","689","3","","","1","","1","0","13","0","62559","11343","38.6%","24900","19","w","9466.91","9466.91","698.96","698.96","433.09","265.87","0.0","0.0","0.0","2014-08-28","349.48","2014-09-24","2014-08-21","764","760","54807","15","","0","0","0","0","0","","13","11","1","84207","62559","4812","12","3","10","100","0","0","0","4","37","5","120","1","29400","5","12","0","1"
"19786611","22009368","9100","9100","9100"," 36 months","  7.69%","283.87","A","A4","Executive Assistant","6 years","MORTGAGE","97000","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19786611","","debt_consolidation","Debt consolidation","RICHARDSON","TX","0","5","20659","33.3","22.3","15.16","0","0","2001-02-16 04:00","715","719","0","","117","12","","77","1","18","1","19764","8322","15.2%","26600","32","f","8647.45","8647.45","567.74","567.74","452.55","115.19","0.0","0.0","0.0","2014-08-28","283.87","2014-09-23","2014-08-21","769","765","38421","21","","1","0","0","0","0","","18","2","5","292621","207337","14810","8","2","5","100","0","0","0","10","160","5","112","5","54700","5","15","0","1"
"19816705","22039457","16000","16000","16000"," 36 months","  7.69%","499.1","A","A4","DRE","10+ years","MORTGAGE","72000","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19816705","","debt_consolidation","Debt consolidation","colorado springs","CO","0","5","15924","40","38.5","20.25","0","0","2002-05-16 05:00","740","744","0","","","","","3","1","10","0","33469","9976","29.9%","25900","19","w","15204.33","15204.33","998.2","998.20","795.67","202.53","0.0","0.0","0.0","2014-08-28","499.1","2014-09-25","2014-08-21","794","790","38717","10","","0","0","0","0","0","","10","3","1","305058","253655","25366","8","3","5","100","0","0","0","8","142","3","145","3","33400","3","6","0","1"
"19836712","22059466","15700","15700","15700"," 36 months"," 13.35%","531.65","C","C2","Administrative Support","3 years","RENT","50000","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19836712","","debt_consolidation","Debt consolidation","El Dorado Hills","CA","0","7","4982","20","18.3","2.83","0","0","1990-02-16 04:00","660","664","0","38","40","7","45","10","3","10","1","1622","1622","16.4%","6100","41","f","14982.05","14982.05","1063.3","1063.30","717.95","345.35","0.0","0.0","0.0","2014-08-28","531.65","2014-09-24","2014-08-21","669","665","0","33","","1","1","0","0","0","45","10","2","10","9900","1622","180","16","3","5","94.4","0","0","0","5","129","4","292","10","9900","5","10","0","1"
"19826552","22049309","24000","24000","24000"," 36 months","  7.69%","748.65","A","A4","Manager","6 years","MORTGAGE","75000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19826552","","credit_card","Credit card refinancing","WILLIAMSON","GA","0","2","7444","20","62.8","8.77","0","0","1992-11-16 04:00","670","674","0","","","7","","14","0","6","0","23175","12556","62.8%","20000","19","w","22806.49","22806.49","1497.3","1497.30","1193.51","303.79","0.0","0.0","0.0","2014-08-28","748.65","2014-09-23","2014-08-21","674","670","13678","14","","0","0","0","0","0","","6","0","14","33678","23175","3863","12","3","5","100","0","0","0","5","158","3","259","14","20000","3","5","314","1"
"19806665","22029420","20000","20000","20000"," 36 months"," 22.15%","765.37","E","E5","Senior V.P. General Manager","10+ years","OWN","125000","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-20","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19806665","","debt_consolidation","Debt consolidation","Alpharetta","GA","0","1","0","100","102","25.07","1","0","1992-08-16 05:00","675","679","1","15","","1","15","97","2","15","0","62676","54788","88.9%","30400","36","w","19200.28","19200.28","1530.74","1530.74","799.72","731.02","0.0","0.0","0.0","2014-08-25","765.37","2014-10-20","2014-08-21","694","690","20932","29","","0","0","0","0","0","","15","1","6","564132","440633","36719","10","3","3","97.2","0","0","0","4","131","9","262","6","61600","9","12","0","1"
"19736702","21959457","6000","6000","6000"," 36 months"," 13.35%","203.18","C","C2","Aide on the Bus","3 years","MORTGAGE","29000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19736702","","debt_consolidation","Debt consolidation","TRAVERSE CITY","MI","0","3","5546","66.7","48.6","24.96","0","0","2001-01-16 04:00","685","689","1","28","","4","28","18","1","6","0","34613","29527","82.5%","10800","21","f","5021.17","5021.17","1106.36","1106.36","978.83","127.53","0.0","0.0","0.0","2014-08-28","503.18","2014-09-24","2014-08-21","699","695","10732","14","28","0","0","0","0","0","","6","0","18","46532","34613","6923","9","3","4","85.7","0","0","0","6","137","4","161","18","35800","4","5","0","1"
"19756684","21979433","8000","8000","8000"," 36 months"," 10.99%","261.88","B","B3","Quality Assurance Specialist","3 years","RENT","55000","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19756684","","credit_card","Credit card refinancing","MIAMI","FL","0","2","793","66.7","78","19.33","7","0","1999-07-16 05:00","670","674","2","16","","0","16","13","0","11","0","101999","2935","21%","3600","37","f","7621.05","7621.05","523.76","523.76","378.95","144.81","0.0","0.0","0.0","2014-08-28","261.88","2014-09-24","2014-08-21","689","685","105329","20","16","0","6","0","0","0","16","9","1","2","119329","101999","11333","9","3","3","58.3","3","0","0","17","143","4","179","2","14000","4","6","719","1"
"19816699","22039451","12000","12000","12000"," 36 months"," 13.98%","410.02","C","C3","General Manager","6 years","RENT","65000","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19816699","","debt_consolidation","Debt consolidation","HOUSTON","TX","0","9","1450","83.3","80.9","24.43","0","0","1990-08-16 05:00","660","664","0","69","","7","69","14","0","16","0","34484","9210","70.3%","7600","27","w","11456.41","11456.41","820.04","820.04","543.59","276.45","0.0","0.0","0.0","2014-08-28","410.02","2014-09-23","2014-08-21","699","695","38669","16","69","0","0","0","0","0","","16","2","6","51769","34484","2155","10","6","6","92.6","0","0","0","11","86","11","286","7","13100","11","12","0","1"
"19816635","22039383","3900","3900","3900"," 36 months"," 19.52%","143.99","E","E2","Graphics Coordinator","9 years","MORTGAGE","55000","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-20","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19816635","","debt_consolidation","Debt consolidation","Grass Valley","CA","0","6","467","50","70.8","8.38","0","0","1993-08-16 05:00","665","669","3","","58","0","","14","1","7","1","21007","1391","24.8%","1600","22","w","3737.59","3737.59","287.98","287.98","162.41","125.57","0.0","0.0","0.0","2014-08-25","143.99","2014-10-20","2014-08-21","669","665","20332","15","","1","0","0","0","0","","7","3","4","204503","196015","28002","9","2","2","100","0","0","0","5","107","3","165","4","5600","3","5","691","1"
"19786693","22009450","13750","13750","13750"," 60 months"," 13.98%","319.8","C","C3","engineer","10+ years","MORTGAGE","69000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19786693","","debt_consolidation","Debt consolidation","DECATUR","AR","1","5","1950","50","75","18.45","1","0","1990-03-16 04:00","680","684","0","2","","9","40","13","1","7","0","43843","8305","53.9%","7800","31","f","13428.92","13428.92","639.6","639.60","321.08","318.52","0.0","0.0","0.0","2014-08-28","319.8","2014-09-23","2014-08-21","689","685","43207","8","","0","0","0","0","0","","7","1","8","150107","110085","15726","5","1","2","90.3","0","1","0","22","120","2","291","13","15400","2","4","393","1"
"19826703","22049455","12000","12000","12000"," 60 months"," 16.29%","293.67","D","D2","technician","10+ years","RENT","45000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19826703","","debt_consolidation","Debt consolidation","KISSIMMEE","FL","0","2","177","100","98","17.84","0","0","1987-05-16 05:00","660","664","0","27","","10","","34","0","7","0","21162","8906","71.8%","9000","16","f","11736.68","11736.68","587.34","587.34","263.32","324.02","0.0","0.0","0.0","2014-08-28","293.67","2014-09-24","2014-08-21","669","665","22519","10","","0","1","0","0","0","27","7","1","2","34919","21162","3527","7","2","3","93.3","0","0","0","5","89","3","160","2","12400","3","6","0","1"
"19746645","21969399","19750","19750","19750"," 60 months"," 20.20%","525.46","E","E3","Owner","10+ years","RENT","80000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19746645","","debt_consolidation","Debt consolidation","GARDNERVILLE","NV","0","5","3983","44.4","58.9","11.55","0","0","2004-03-16 04:00","700","704","3","","","1","","5","5","14","0","32421","5911","41.9%","9700","24","w","19360.75","19360.75","1050.92","1050.92","389.25","661.67","0.0","0.0","0.0","2014-08-28","525.46","2014-09-23","2014-08-21","714","710","29738","16","","0","0","0","0","0","","14","2","5","43838","32421","2494","10","7","9","100","0","0","0","3","123","9","123","5","14100","9","13","0","1"
"19786631","22009389","13000","13000","13000"," 36 months"," 14.49%","447.41","C","C4","sales","< 1 year","OWN","70000","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19786631","","home_improvement","Home improvement","FORT MYERS","FL","0","6","0","50","42.2","14.98","2","0","1990-04-16 05:00","675","679","0","10","66","11","10","46","3","7","1","31524","4670","68.4%","1800","12","w","12415.62","12415.62","894.82","894.82","584.38","310.44","0.0","0.0","0.0","2014-08-28","447.41","2014-09-23","2014-08-21","659","655","28436","4","10","1","0","0","0","0","","7","2","11","213885","210200","35033","3","2","3","100","0","0","0","5","94","3","290","13","3800","3","4","0","1"
"19776621","21999380","10975","10975","10975"," 36 months"," 15.61%","383.74","D","D1","Special Education Teacher","1 year","OWN","61000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19776621","","debt_consolidation","Debt consolidation","NANUET","NY","0","2","759","66.7","76.3","16.8","0","0","2005-02-16 04:00","670","674","2","77","","3","","22","0","8","0","71387","3061","69.6%","3200","16","w","10489.92","10489.92","767.48","767.48","485.08","282.40","0.0","0.0","0.0","2014-08-28","383.74","2014-09-23","2014-08-21","729","725","90167","6","","0","0","0","0","0","","8","0","18","94567","71387","8923","4","3","3","85.7","0","0","0","10","112","4","76","22","4400","4","4","0","1"
"19646582","21869327","7975","7975","7975"," 36 months"," 17.57%","286.6","D","D4","customer service","1 year","RENT","30000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19646582","","debt_consolidation","Debt consolidation","CLINTON","TN","0","4","1509","50","69.2","29.1","0","0","2008-10-13 05:00","680","684","0","28","","7","","2","0","12","0","26884","5392","44.2%","4900","14","w","7632.85","7632.85","573.2","573.20","342.15","231.05","0.0","0.0","0.0","2014-08-28","286.6","2014-09-24","2014-06-14","684","680","23531","12","","0","1","0","0","0","28","12","4","2","35731","26884","2240","6","5","6","100","0","0","0","1","11","10","68","2","12200","10","11","0","1"
"14589237","14540608","27500","27500","27500"," 60 months"," 13.98%","639.6","C","C3","Financial Security Consultant","5 years","MORTGAGE","119000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=14589237","","debt_consolidation","Debt consolidation","Gig Harbor","WA","0","11","14181","42.9","66.9","19.08","0","0","1998-08-16 05:00","715","719","1","","","0","","14","5","14","0","77372","33481","58.2%","42900","25","w","26857.83","26857.83","1279.2","1279.20","642.17","637.03","0.0","0.0","0.0","2014-08-28","639.6","2014-09-25","2014-08-21","814","810","63926","15","","0","0","0","0","0","","14","0","14","499247","442447","31603","9","6","7","100","0","0","0","5","155","8","183","14","57500","8","10","0","1"
"19667330","21890065","28000","28000","27900"," 36 months","  7.12%","866.1","A","A3","","n/a","MORTGAGE","82000","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-25","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19667330","","credit_card","Credit card refinancing","RACINE","WI","0","4","56567","16.7","33.4","25.99","0","0","1988-01-15 04:00","760","764","0","","","10","","23","4","15","0","53527","29598","31%","84900","36","f","26595.91","26500.93","1732.2","1726.01","1404.09","328.11","0.0","0.0","0.0","2014-08-28","866.1","2014-09-24","2014-08-21","799","795","64491","25","","0","0","0","0","0","","15","3","9","345306","235735","15716","13","3","6","100","0","0","0","6","105","4","206","10","95600","4","10","0","1"
"19637246","21859963","10000","10000","10000"," 36 months"," 17.57%","359.38","D","D4","Flight Attendant","10+ years","MORTGAGE","55000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19637246","","debt_consolidation","Debt consolidation","FORT WORTH","TX","0","4","71","100","98.8","28.23","2","0","2002-05-15 05:00","660","664","1","6","","4","10","27","3","9","0","24820","18422","90.7%","6000","28","w","9570.96","9570.96","718.76","718.76","429.04","289.72","0.0","0.0","0.0","2014-08-28","359.38","2014-09-23","2014-08-21","734","730","20020","20","","0","0","0","0","0","","9","0","16","195168","173375","19264","10","1","1","92.6","0","0","0","5","123","4","145","16","20300","5","6","0","1"
"19646853","21869582","18000","18000","18000"," 36 months"," 10.15%","582.08","B","B2","I.T. Senior Tech II","2 years","RENT","62000","Not Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19646853","","debt_consolidation","Debt consolidation","COLUMBUS","NC","0","3","7584","50","67.6","24.84","0","0","2003-02-16 04:00","690","694","0","42","","","","4","3","9","0","33047","15824","52.4%","23400","24","w","17136.70","17136.70","1164.16","1164.16","863.30","300.86","0.0","0.0","0.0","2014-08-28","582.08","2014-09-23","2014-08-21","684","680","33644","12","","0","0","0","0","0","","9","3","3","63844","33047","3672","6","4","4","100","0","0","0","9","136","5","113","3","30200","5","7","0","1"
"19716712","21939459","28000","28000","28000"," 60 months"," 15.61%","675.12","D","D1","Aircraft Maintenance Technician","10+ years","MORTGAGE","125000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19716712","","debt_consolidation","Debt consolidation","FORT WORTH","TX","0","4","65","100","99.7","25.01","0","0","1978-01-16 04:00","680","684","0","76","","18","","19","3","15","0","91994","33924","73.4%","23500","37","w","27374.18","27374.18","1350.24","1350.24","625.82","724.42","0.0","0.0","0.0","2014-08-28","675.12","2014-09-23","2014-08-21","719","715","82192","20","","0","0","0","0","0","","15","0","18","277942","231268","15418","9","5","5","97.3","0","0","0","14","147","9","437","19","46200","9","12","0","1"
"14879201","16951636","33000","33000","33000"," 36 months","  7.12%","1020.76","A","A3","Genral Sales Manager","6 years","RENT","195000","Source Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-23","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=14879201","","credit_card","Credit card refinancing","Ocean City","NJ","0","3","19202","33.3","63.4","12.98","0","0","1977-01-29 04:00","745","749","0","","","11","","11","0","16","0","129965","33694","55.6%","52500","29","w","31345.19","31345.19","2041.52","2041.52","1654.81","386.71","0.0","0.0","0.0","2014-08-28","1020.76","2014-09-23","2014-08-21","834","830","112622","16","","0","0","0","0","0","","16","2","10","173222","129965","8123","14","6","12","100","0","0","0","13","116","7","448","11","60600","7","14","0","1"
"19646304","21869061","33000","33000","33000"," 60 months"," 19.52%","865.51","E","E2","Director of Clinical Operations and Qual","10+ years","MORTGAGE","90000","Verified","2014-06-17","2014-07-01","2014-06-17","2014-06-24","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=19646304","","home_improvement","Home improvement","Cowen","WV","0","6","9","100","97","24.75","2","0","1994-10-12 05:00","690","694","5","14","40","0","20","44","2","19","1","157953","6025","53.3%","300","55","w","6930.57","6930.57","26731.02","26731.02","26069.43","661.59","0.0","0.0","0.0","2014-08-28","865.51","2014-09-24","2014-08-21","684","680","156840","16","20","0","3","0","0","1","41","17","1","11","244860","217119","12772","8","1","1","74.5","0","0","0","37","181","3","223","14","11300","3","5","122","1"
